# luminosity_distance	mass_1	mass_2	ra	dec
2.870234319343182392e+02 1.140904522135344834e+01 8.262175490552470691e+00 2.052466764995696913e+00 2.795608639534188922e-01
2.005713752532253977e+02 1.426310604552319994e+01 6.898950700820889459e+00 2.034104009973156213e+00 2.402061442233049127e-01
2.918583318150224386e+02 1.236379865706241254e+01 7.762759276826121990e+00 2.145459580379910136e+00 5.342487999174854174e-01
3.649430238845276335e+02 9.762532518697959460e+00 9.739929976019478630e+00 2.165026388000825808e+00 5.510851338025124502e-01
3.271078486740614721e+02 1.585716637423847963e+01 6.309380871920092559e+00 2.176445156371397793e+00 4.734229488804611585e-01
4.954230258045085975e+02 1.207550837837033342e+01 7.937729875960590320e+00 1.419515023142899679e+00 1.343468637123393483e+00
2.718049403247804321e+02 1.398935627640314294e+01 6.988598245518162777e+00 7.120596369247849111e-01 1.273249934218494861e+00
2.038107501689073331e+02 1.067320510307750325e+01 8.969015479817343817e+00 2.131326400991009340e+00 5.087817696410273927e-01
3.897774849799091044e+02 1.027628779527604941e+01 9.190654234934363842e+00 2.145398170936846149e+00 4.443630693061088044e-01
3.260761532972201735e+02 1.175891768049350894e+01 8.088824190503480338e+00 2.114383602929143624e+00 4.554181518238166193e-01
2.712426996405649788e+02 1.081892719994855590e+01 8.828557430491557056e+00 1.994938644524600235e+00 2.652483076256422767e-01
4.890666330096565275e+02 1.082933749180980776e+01 8.774765668163174936e+00 2.207507337708348949e+00 6.842747890029080571e-01
3.941371547681910670e+02 1.386000268314584716e+01 7.007937163977441486e+00 2.195922270923756248e+00 6.942396797950640686e-01
3.256532175853011495e+02 9.781893373032715999e+00 9.655597522782526809e+00 1.085111761415657128e+00 1.305583164013142339e+00
3.014697149460695869e+02 1.805412800155860609e+01 5.685267366021768964e+00 2.013993916627350167e+00 2.024889013741900667e-01
4.096929385656549130e+02 1.177610902249534419e+01 8.169321966145366432e+00 2.165523883946741002e+00 5.271525171757397432e-01
3.422929284785763571e+02 1.029415260187237635e+01 9.228325341762364076e+00 2.140332695600423385e+00 5.431128691953615029e-01
4.163493677823768735e+02 1.110796644551676593e+01 8.516657404406144494e+00 1.897160400757556875e+00 1.192548843436960437e+00
2.973201586152200093e+02 9.794881470943861856e+00 9.692783561493566680e+00 1.926791699986678985e+00 1.197008884215958968e+00
3.174639968117702438e+02 1.298055526770857249e+01 7.487414082825305961e+00 2.111623851518718009e+00 4.116802576688772808e-01
3.795818142689921615e+02 1.272987123580563207e+01 7.541576265256884071e+00 1.449753988776144809e+00 1.313569880682763369e+00
3.869606816147443169e+02 1.110568791527092536e+01 8.503854626105562531e+00 2.234178050189907339e+00 8.378400178855885949e-01
3.702919569600932164e+02 1.108947920301516277e+01 8.728925495023288406e+00 2.143675423609856967e+00 9.852572301325719373e-01
4.045378591591312443e+02 1.476981894627673064e+01 6.671968539697004985e+00 2.214227972840062009e+00 7.878649018884881228e-01
2.782091107304007664e+02 1.307233688503084323e+01 7.384515982410253976e+00 2.046198509596127924e+00 3.367790877843554465e-01
3.213613369558359523e+02 1.119280084298565114e+01 8.560248244944501650e+00 2.206337710927816165e+00 6.285214401611836088e-01
2.686819017179070670e+02 1.037358794678190321e+01 9.166168550204146115e+00 2.015577681524612697e+00 3.207652896667866349e-01
2.365103636340605817e+02 1.523740779849777383e+01 6.534655093723813479e+00 2.054447270031598993e+00 3.468201675682093255e-01
3.346959620088194924e+02 9.999772281181728673e+00 9.431178618839448191e+00 9.324257508160016528e-01 1.277189788797819636e+00
2.431970652770031904e+02 1.295551725497553086e+01 7.416323806623859483e+00 2.072065360100503462e+00 3.657775765203596374e-01
2.879022092744157817e+02 1.082003462935891314e+01 8.843047525924767172e+00 2.210204796626653145e+00 7.518905053729844079e-01
4.223639659760671066e+02 9.821481144839117050e+00 9.689954011214350516e+00 2.194147232553655513e+00 6.432344789156746456e-01
2.074549617821642187e+02 1.552141217747770163e+01 6.440531650163470623e+00 2.109776627967089535e+00 4.905612184636191642e-01
4.105448849373056532e+02 1.033800450964742623e+01 9.294222911788205366e+00 2.219900193762835983e+00 6.513348062114889814e-01
3.345801023409030108e+02 9.949161945869958501e+00 9.424458662277309884e+00 2.010343914232878948e+00 1.065778407358068058e+00
3.194788069219151225e+02 1.546045881576651126e+01 6.405197751550254281e+00 2.044683988169625266e+00 3.965540278429594556e-01
2.749818264593071149e+02 9.721700124888126737e+00 9.714836226323289026e+00 2.184568809545072376e+00 5.469696499307867832e-01
2.771574799080708544e+02 1.303312776133122242e+01 7.445227586219625771e+00 2.016030114205912938e+00 2.548813897877590939e-01
2.574146782253128549e+02 9.936335478745075278e+00 9.698778178885811840e+00 2.069244578704541038e+00 3.044221416334852992e-01
3.164107562572827987e+02 1.480650100281750348e+01 6.681677365727071383e+00 2.060654288183764393e+00 3.727925585021071297e-01
3.603903016389805885e+02 1.242862781571868780e+01 7.753536751648065106e+00 2.135807653562971531e+00 9.443191674080249065e-01
3.210412021695892122e+02 1.052890857134876157e+01 9.061909274546342985e+00 1.828764174319042368e+00 1.206346413929120454e+00
5.556894153843928734e+02 1.253532325305396711e+01 7.640717898275947384e+00 2.208398484717283505e+00 8.481447614879675800e-01
2.698445308760409489e+02 1.653951798005002516e+01 6.108055692206069587e+00 1.984341954652574458e+00 2.259721351556642499e-01
2.119453936120072228e+02 1.423023999533375239e+01 6.933394196973090118e+00 6.512728937555873898e-01 1.257450463363427140e+00
3.731747996519590060e+02 1.307019854950730675e+01 7.353454613008012508e+00 2.117452701152549910e+00 4.044121501520933082e-01
4.149812247125324802e+02 1.473668795891603089e+01 6.674245393125157300e+00 2.127946633590751091e+00 4.606180644997756035e-01
2.992061135920458241e+02 1.205907538383383759e+01 7.925653807020197839e+00 2.165009123429495475e+00 5.030686947883328264e-01
3.253155234717245889e+02 1.454660646752515873e+01 6.760876193290605407e+00 2.216382718916348527e+00 7.645875934101489246e-01
4.238470374139147907e+02 1.097648895262165425e+01 8.709963482502342202e+00 2.165602796289222365e+00 5.784393726451066975e-01
2.034543015187930735e+02 1.317702977755760507e+01 7.364056121827162293e+00 2.045946643406208576e+00 2.686053674513300127e-01
